,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
307,voznesenskoye,100.0,RU,1583702697.0,98.0,54.89,42.76,39.65,4.38
308,clyde river,90.0,CA,1583702698.0,74.0,70.47,-68.59,-23.8,23.04
309,meulaboh,89.0,ID,1583702698.0,79.0,4.14,96.13,83.08,7.67
310,toyooka,20.0,JP,1583702698.0,93.0,35.53,134.83,41.0,9.17
311,pangai,75.0,TO,1583702698.0,79.0,-19.8,-174.35,84.2,8.05
312,iberia,40.0,US,1583702404.0,53.0,29.95,-91.75,71.6,13.87
313,barahona,75.0,DO,1583702698.0,83.0,18.21,-71.1,80.6,5.82
314,keti bandar,0.0,PK,1583702698.0,67.0,24.14,67.45,70.45,10.76
315,gucheng,100.0,CN,1583702698.0,54.0,35.91,111.32,46.87,8.7
316,orumiyeh,0.0,IR,1583702430.0,75.0,37.55,45.08,42.8,6.93
317,berlevag,100.0,NO,1583702698.0,79.0,70.86,29.09,32.0,8.05
318,wanaka,89.0,NZ,1583702698.0,86.0,-44.7,169.15,51.19,8.95
319,norman wells,75.0,CA,1583702585.0,54.0,65.28,-126.83,5.0,6.93
320,puerto ayora,40.0,EC,1583702699.0,74.0,-0.74,-90.35,84.2,5.82
321,waddan,0.0,LY,1583702699.0,27.0,29.16,16.14,56.95,12.15
322,nakatsugawa,20.0,JP,1583702699.0,100.0,35.48,137.5,39.2,2.24
324,harnosand,90.0,SE,1583702699.0,100.0,62.63,17.94,37.4,12.75
325,baoding,100.0,CN,1583702699.0,86.0,38.85,115.49,47.12,8.14
326,curup,100.0,ID,1583702699.0,96.0,-3.47,102.53,67.17,0.49
327,aksha,72.0,RU,1583702699.0,91.0,50.28,113.29,-3.75,2.08
328,charters towers,0.0,AU,1583702699.0,91.0,-20.1,146.27,74.66,4.7
329,fairbanks,75.0,US,1583702700.0,85.0,64.84,-147.72,21.0,1.74
330,yatou,100.0,CN,1583702700.0,82.0,37.15,122.38,42.78,3.62
331,jonesboro,1.0,US,1583702700.0,50.0,35.84,-90.7,66.2,18.34
332,waipawa,100.0,NZ,1583702700.0,88.0,-41.41,175.52,63.0,20.8
333,bomi,79.0,SL,1583702700.0,81.0,7.25,-11.53,81.95,7.4
334,barra do bugres,100.0,BR,1583702700.0,60.0,-15.07,-57.18,86.52,1.32
335,griffith,40.0,US,1583702700.0,36.0,41.53,-87.42,66.2,23.04
336,khorixas,67.0,NA,1583702700.0,38.0,-20.37,14.97,80.98,9.62
337,salo,40.0,IT,1583702700.0,81.0,45.61,10.53,48.2,2.24
338,gizo,99.0,SB,1583702700.0,86.0,-8.1,156.84,79.14,6.26
339,dingle,97.0,PH,1583702701.0,92.0,11.0,122.67,74.21,3.91
340,bonthe,0.0,SL,1583702701.0,82.0,7.53,-12.51,81.39,8.46
341,okhotsk,100.0,RU,1583702701.0,85.0,59.38,143.3,-2.54,4.94
342,nanortalik,100.0,GL,1583702701.0,80.0,60.14,-45.24,24.64,13.87
343,zhifang,90.0,CN,1583702701.0,93.0,30.35,114.32,55.4,4.47
344,lajas,75.0,PR,1583702701.0,61.0,18.05,-67.06,82.99,18.34
345,kohila,86.0,EE,1583702701.0,86.0,59.17,24.76,36.0,8.05
346,tateyama,75.0,JP,1583702701.0,87.0,34.98,139.87,51.8,18.34
348,port lincoln,100.0,AU,1583702701.0,81.0,-34.73,135.87,62.55,14.23
349,antofagasta,40.0,CL,1583702702.0,60.0,-23.65,-70.4,71.6,11.41
350,kamenka,28.0,RU,1583702702.0,82.0,51.32,42.77,46.99,11.5
351,guilford,75.0,US,1583702702.0,25.0,36.07,-79.8,63.0,10.29
352,tura,0.0,IN,1583702702.0,60.0,25.52,90.22,63.95,1.23
353,salalah,0.0,OM,1583702702.0,56.0,17.02,54.09,73.4,4.7
354,izumo,20.0,JP,1583702702.0,100.0,35.37,132.77,41.0,3.36
355,katsuura,75.0,JP,1583702702.0,87.0,35.13,140.3,51.8,18.34
357,vanimo,100.0,PG,1583702702.0,77.0,-2.67,141.3,82.24,12.82
358,rio grande,0.0,BR,1583702702.0,54.0,-32.03,-52.1,84.2,9.17
359,mahebourg,75.0,MU,1583702702.0,88.0,-20.41,57.7,77.0,13.87
360,datong,100.0,CN,1583702703.0,51.0,40.09,113.29,34.23,8.75
361,minna,50.0,NG,1583702703.0,41.0,9.61,6.56,91.4,9.17
362,juba,100.0,SS,1583702703.0,42.0,4.85,31.58,89.24,5.59
363,urumqi,0.0,CN,1583702703.0,72.0,43.8,87.6,17.6,1.36
364,pauini,73.0,BR,1583702703.0,50.0,-7.71,-66.98,91.04,0.78
365,okato,100.0,NZ,1583702703.0,92.0,-39.2,173.88,63.0,7.0
366,port macquarie,90.0,AU,1583702703.0,100.0,-31.43,152.92,64.99,5.82
368,hobyo,1.0,SO,1583702703.0,77.0,5.35,48.53,77.77,13.44
369,susangerd,0.0,IR,1583702704.0,72.0,31.56,48.18,59.0,2.24
370,bogorodskoye,100.0,RU,1583702704.0,85.0,56.55,37.88,33.78,4.97
371,esperance,90.0,AU,1583702704.0,87.0,-33.87,121.9,60.8,8.05
372,olafsvik,100.0,IS,1583702704.0,77.0,64.89,-23.71,27.09,21.52
373,santa cruz,20.0,BO,1583702704.0,52.0,-17.8,-63.17,91.4,13.87
374,olavarria,60.0,AR,1583702704.0,31.0,-36.89,-60.32,87.93,1.72
375,kalutara,50.0,LK,1583702704.0,83.0,6.58,79.96,80.6,1.12
376,huilong,100.0,CN,1583702704.0,93.0,31.81,121.66,55.99,11.77
377,astana,0.0,KZ,1583702554.0,71.0,51.18,71.45,3.2,8.95
378,vestmannaeyjar,2.0,IS,1583702704.0,71.0,63.44,-20.27,30.29,14.14
379,shenzhen,75.0,CN,1583702557.0,78.0,22.55,114.07,75.2,11.18
380,chunhuhub,94.0,MX,1583702705.0,44.0,19.55,-88.68,84.36,8.72
381,arti,100.0,RU,1583702705.0,95.0,56.42,58.53,27.23,16.96
382,anito,43.0,PH,1583702705.0,79.0,12.45,125.29,79.54,13.62
384,nouadhibou,0.0,MR,1583702705.0,88.0,20.93,-17.03,64.4,17.22
385,moron,90.0,AR,1583702705.0,78.0,-34.65,-58.62,82.4,7.23
386,quatre cocos,75.0,MU,1583702705.0,88.0,-20.21,57.76,77.0,13.87
387,arlit,97.0,NE,1583702705.0,7.0,18.74,7.39,81.14,8.81
388,muisne,75.0,EC,1583702705.0,88.0,0.6,-80.03,82.4,3.36
389,lakes entrance,62.0,AU,1583702705.0,87.0,-37.88,147.98,57.99,1.01
390,ongandjera,0.0,NA,1583702706.0,45.0,-17.88,15.07,77.95,8.68
391,general roca,0.0,AR,1583702706.0,18.0,-39.03,-67.58,84.2,8.05
392,chapais,90.0,CA,1583702706.0,43.0,49.78,-74.85,14.0,4.7
393,luanda,75.0,AO,1583702706.0,83.0,-8.84,13.23,82.4,5.82
394,alice,90.0,US,1583702435.0,50.0,27.75,-98.07,80.6,19.46
395,champasak,0.0,LA,1583702706.0,57.0,14.75,106.0,74.21,1.43
396,cap malheureux,75.0,MU,1583702706.0,88.0,-19.98,57.61,77.0,13.87
397,taoudenni,91.0,ML,1583702706.0,10.0,22.68,-3.98,76.01,19.1
398,coihaique,20.0,CL,1583702475.0,48.0,-45.58,-72.07,60.8,9.17
399,gornopravdinsk,100.0,RU,1583702706.0,96.0,60.05,69.9,27.27,7.9
400,komsomolskiy,40.0,UZ,1583702707.0,80.0,40.43,71.72,42.8,3.2
401,zverinogolovskoye,84.0,RU,1583702707.0,75.0,54.46,64.85,26.4,17.0
402,bjornevatn,90.0,NO,1583702707.0,97.0,69.67,29.98,33.8,29.97
403,sovetskiy,100.0,RU,1583702707.0,97.0,61.36,63.58,28.49,4.92
404,bocas del toro,24.0,PA,1583702707.0,54.0,9.33,-82.25,68.0,18.01
405,issaquah,90.0,US,1583702707.0,65.0,47.53,-122.03,48.0,3.38
407,severo-kurilsk,31.0,RU,1583702707.0,86.0,50.68,156.12,17.06,3.15
408,ilulissat,74.0,GL,1583702707.0,46.0,69.22,-51.1,6.8,3.36
409,sampit,0.0,ID,1583702707.0,98.0,-2.53,112.95,74.01,0.29
410,poya,67.0,NC,1583702707.0,77.0,-21.35,165.15,80.98,9.84
411,hope,1.0,US,1583702708.0,43.0,33.67,-93.59,66.99,11.41
412,inhambane,0.0,MZ,1583702708.0,76.0,-23.86,35.38,78.57,14.56
413,caucaia,20.0,BR,1583702708.0,78.0,-3.74,-38.65,82.4,8.05
414,tynda,0.0,RU,1583702708.0,86.0,55.17,124.72,-14.04,2.01
415,challans,18.0,FR,1583702708.0,93.0,46.84,-1.87,48.2,9.17
416,westport,1.0,US,1583702708.0,37.0,41.14,-73.36,61.0,10.29
417,gusau,0.0,NG,1583702708.0,10.0,12.16,6.66,81.07,8.28
418,veraval,0.0,IN,1583702708.0,73.0,20.9,70.37,63.59,7.31
419,codrington,49.0,AU,1583702708.0,75.0,-38.27,141.97,60.1,14.76
420,yako,26.0,BF,1583702708.0,11.0,12.97,-2.27,77.05,3.58
421,atherton,40.0,GB,1583702709.0,93.0,53.52,-2.49,44.01,6.93
422,chernyshevskiy,100.0,RU,1583702709.0,99.0,63.01,112.47,-7.64,2.71
423,vangaindrano,83.0,MG,1583702709.0,95.0,-23.35,47.6,70.43,3.85
424,lashio,37.0,MM,1583702709.0,47.0,22.93,97.75,60.28,2.01
425,sola,25.0,VU,1583702709.0,73.0,-13.88,167.55,84.94,8.59
426,luau,100.0,AO,1583702709.0,87.0,-10.71,22.22,70.63,2.21
427,purpe,100.0,RU,1583702709.0,89.0,64.48,76.69,23.0,14.09
428,dargaville,100.0,NZ,1583702709.0,91.0,-35.93,173.88,64.56,6.73
429,leh,100.0,IN,1583702709.0,48.0,34.17,77.58,10.89,1.39
430,nouakchott,100.0,MR,1583702709.0,64.0,18.09,-15.98,75.2,12.75
431,gualeguay,0.0,AR,1583702710.0,19.0,-33.14,-59.31,99.59,5.48
432,tocopilla,43.0,CL,1583702710.0,31.0,-22.09,-70.2,72.1,11.39
433,aktau,0.0,KZ,1583702710.0,57.0,43.65,51.2,32.0,13.42
434,beloha,0.0,MG,1583702710.0,71.0,-25.17,45.05,72.86,15.28
436,sidi ali,0.0,DZ,1583702710.0,60.0,36.1,0.42,47.88,1.45
437,martapura,37.0,ID,1583702710.0,88.0,-3.42,114.85,72.99,0.6
438,alghero,94.0,IT,1583702710.0,87.0,40.56,8.32,50.0,3.36
439,buala,100.0,SB,1583702710.0,80.0,-8.14,159.59,81.86,4.23
441,longyearbyen,20.0,SJ,1583702710.0,70.0,78.22,15.64,1.4,8.05
442,amapa,69.0,BR,1583702711.0,68.0,1.0,-52.0,81.75,3.58
443,deputatskiy,100.0,RU,1583702711.0,93.0,69.3,139.9,-18.53,6.33
444,mount gambier,37.0,AU,1583702711.0,93.0,-37.83,140.77,48.2,5.82
445,ponta delgada,75.0,PT,1583702711.0,93.0,37.73,-25.67,64.0,11.41
446,lewistown,1.0,US,1583702711.0,18.0,40.6,-77.57,60.8,11.41
447,mao,59.0,ES,1583702711.0,93.0,39.89,4.27,51.8,4.7
448,trairi,100.0,BR,1583702711.0,88.0,-3.28,-39.27,77.43,3.56
451,preeceville,100.0,CA,1583702711.0,86.0,51.95,-102.67,5.23,4.94
452,talas,95.0,TR,1583702712.0,56.0,38.69,35.55,44.6,4.7
453,kabansk,20.0,RU,1583702712.0,65.0,52.05,106.65,6.8,2.39
454,san quintin,0.0,MX,1583702712.0,68.0,30.48,-115.95,62.19,13.33
455,samarai,100.0,PG,1583702584.0,83.0,-10.62,150.67,78.08,3.67
456,port hardy,20.0,CA,1583702712.0,63.0,50.7,-127.42,41.0,3.36
457,sao paulo de olivenca,84.0,BR,1583702712.0,90.0,-3.38,-68.87,83.17,2.66
458,luderitz,94.0,NA,1583702712.0,56.0,-26.65,15.16,71.6,12.75
459,opotiki,49.0,NZ,1583702712.0,82.0,-38.08,177.28,69.01,3.0
462,ribeira grande,75.0,PT,1583702713.0,88.0,38.52,-28.7,62.6,10.56
463,orotukan,100.0,RU,1583702713.0,88.0,62.27,151.7,-1.95,3.69
464,tigil,98.0,RU,1583702713.0,85.0,57.8,158.67,3.54,8.88
465,burnie,99.0,AU,1583702713.0,84.0,-41.07,145.92,57.99,7.0
466,boyolangu,66.0,ID,1583702713.0,90.0,-8.12,111.89,73.76,0.69
467,kadyy,92.0,RU,1583702713.0,93.0,57.79,43.19,34.32,5.06
468,junin,69.0,AR,1583702713.0,19.0,-34.58,-60.94,99.07,1.88
469,berlaar,20.0,BE,1583702713.0,87.0,51.12,4.66,48.0,8.05
470,souillac,75.0,MU,1583702713.0,88.0,-20.52,57.52,77.0,13.87
471,emerald,90.0,AU,1583702713.0,88.0,-23.53,148.17,75.2,5.82
472,klyuchi,99.0,RU,1583702713.0,85.0,52.27,79.17,14.9,15.66
473,palu,100.0,ID,1583702714.0,96.0,-0.89,119.87,67.69,1.1
474,fukue,75.0,JP,1583702714.0,87.0,32.69,128.84,51.8,6.93
475,kahului,40.0,US,1583702714.0,47.0,20.89,-156.47,77.0,16.11
477,te anau,38.0,NZ,1583702714.0,88.0,-45.42,167.72,57.56,1.97
478,salym,100.0,RU,1583702714.0,96.0,60.06,71.48,27.88,8.03
479,moerai,100.0,PF,1583702714.0,79.0,-22.43,-151.33,79.92,16.15
481,new iberia,40.0,US,1583702714.0,53.0,30.0,-91.82,71.6,13.87
482,iqaluit,90.0,CA,1583702714.0,68.0,63.75,-68.51,-14.01,51.67
483,tan an,20.0,VN,1583702715.0,88.0,10.53,106.42,80.6,8.05
484,takoradi,46.0,GH,1583702715.0,81.0,4.88,-1.76,80.29,3.98
485,bahia honda,77.0,CU,1583702715.0,58.0,22.9,-83.16,74.41,22.32
486,muros,40.0,ES,1583702715.0,87.0,42.78,-9.06,54.0,3.36
487,klaksvik,100.0,FO,1583702715.0,75.0,62.23,-6.59,35.6,24.16
488,chiang khong,12.0,TH,1583702715.0,82.0,20.26,100.4,66.2,3.36
489,margate,67.0,GB,1583702425.0,87.0,51.38,1.39,46.99,11.41
490,kipushi,3.0,CD,1583702715.0,98.0,-11.77,27.23,63.52,4.0
491,wad madani,50.0,SD,1583702715.0,10.0,14.4,33.52,81.55,11.86
492,udachnyy,0.0,RU,1583702715.0,73.0,66.42,112.4,-32.8,6.71
493,tuatapere,36.0,NZ,1583702715.0,99.0,-46.13,167.68,57.0,1.01
494,marsa matruh,100.0,EG,1583702716.0,87.0,31.35,27.25,59.0,10.29
496,ipswich,0.0,GB,1583702716.0,81.0,52.06,1.16,46.99,12.75
497,severobaykalsk,100.0,RU,1583702549.0,93.0,55.65,109.32,6.21,6.55
498,portree,100.0,GB,1583702716.0,77.0,57.41,-6.19,43.0,10.0
499,tursunzoda,20.0,TJ,1583702716.0,86.0,38.51,68.23,33.8,2.24
500,rustenburg,67.0,ZA,1583702716.0,41.0,-25.67,27.24,66.72,1.5
501,bilma,0.0,NE,1583702716.0,7.0,18.69,12.92,76.3,8.01
502,port blair,0.0,IN,1583702716.0,77.0,11.67,92.75,78.71,10.69
503,salina,1.0,US,1583702716.0,52.0,38.84,-97.61,68.0,36.91
504,alice springs,0.0,AU,1583702717.0,82.0,-23.7,133.88,64.4,4.7
505,san carlos de bariloche,57.0,AR,1583702717.0,26.0,-41.15,-71.31,73.99,20.8
506,diapaga,2.0,BF,1583702717.0,10.0,12.07,1.79,83.12,3.58
507,teknaf,0.0,BD,1583702717.0,90.0,20.86,92.31,62.19,2.39
508,ucluelet,20.0,CA,1583702550.0,70.0,48.93,-125.55,46.0,6.93
509,palmer,20.0,US,1583702496.0,20.0,42.16,-72.33,57.2,11.41
510,kodinsk,100.0,RU,1583702717.0,93.0,58.69,99.18,16.14,13.22
511,paragominas,100.0,BR,1583702434.0,92.0,-2.97,-47.48,79.52,3.29
512,dolinsk,75.0,RU,1583702717.0,86.0,47.35,142.8,33.8,8.95
513,south lake tahoe,75.0,US,1583702717.0,39.0,38.93,-119.98,50.0,4.7
514,rudnyy,100.0,KZ,1583702717.0,67.0,52.96,63.12,23.0,17.9
515,kungurtug,100.0,RU,1583702718.0,90.0,50.6,97.52,-3.71,2.42
516,porto novo,20.0,BJ,1583702718.0,83.0,6.5,2.6,84.2,8.05
518,fort nelson,40.0,CA,1583702718.0,48.0,58.81,-122.7,19.4,2.24
519,suntar,100.0,RU,1583702718.0,98.0,62.14,117.63,-5.04,4.5
521,brae,60.0,GB,1583702718.0,87.0,60.4,-1.35,44.6,18.34
522,thurso,0.0,GB,1583702718.0,80.0,58.59,-3.53,42.01,3.36
524,gushikawa,1.0,JP,1583702719.0,77.0,26.35,127.87,68.0,10.29
525,faanui,68.0,PF,1583702719.0,72.0,-16.48,-151.75,82.99,8.03
526,avera,1.0,US,1583702719.0,29.0,33.19,-82.53,64.4,5.82
527,nalut,0.0,LY,1583702719.0,35.0,30.33,10.85,48.16,9.89
528,lukow,81.0,PL,1583702719.0,86.0,51.93,22.38,42.01,4.45
530,brewster,1.0,US,1583702719.0,17.0,41.4,-73.62,61.0,11.41
531,paita,24.0,PE,1583702719.0,100.0,-5.09,-81.11,62.6,11.41
532,banga,16.0,PH,1583702719.0,95.0,6.42,124.78,67.86,1.99
533,murwillumbah,75.0,AU,1583702719.0,94.0,-28.32,153.4,72.0,10.29
534,mangla,47.0,PK,1583702720.0,69.0,31.89,72.38,56.1,6.73
535,itaituba,75.0,BR,1583702699.0,100.0,-4.28,-55.98,77.0,2.35
536,llangefni,49.0,GB,1583702720.0,75.0,53.26,-4.31,45.0,19.46
537,mitu,100.0,CO,1583702689.0,92.0,1.2,-70.17,81.79,2.15
538,tazovskiy,100.0,RU,1583702720.0,95.0,67.47,78.7,-0.27,13.82
539,kamakwie,0.0,SL,1583702706.0,62.0,9.5,-12.23,81.5,7.87
540,erzin,6.0,TR,1583702720.0,100.0,36.96,36.2,60.01,2.75
541,guerrero negro,100.0,MX,1583702720.0,52.0,27.98,-114.06,63.36,7.56
542,tezu,48.0,IN,1583702720.0,66.0,27.92,96.17,58.95,2.66
543,bluefield,1.0,US,1583702720.0,16.0,37.27,-81.22,66.2,5.82
544,resavica,97.0,RS,1583702721.0,94.0,44.04,21.58,37.24,1.81
545,jumla,0.0,NP,1583702721.0,42.0,29.27,82.18,27.23,6.24
546,krasnoshchekovo,100.0,RU,1583702721.0,72.0,51.67,82.73,21.07,19.64
547,nevers,100.0,FR,1583702721.0,87.0,46.92,3.33,44.6,8.05
548,reyes,20.0,BO,1583702721.0,63.0,-14.32,-67.38,93.2,5.82
550,horsham,20.0,GB,1583702721.0,87.0,51.06,-0.33,46.99,5.82
551,trelew,0.0,AR,1583702479.0,36.0,-43.25,-65.31,64.96,21.41
552,mogocha,33.0,RU,1583702721.0,92.0,53.73,119.77,-7.35,1.07
553,manjo,99.0,CM,1583702721.0,91.0,4.84,9.82,71.06,0.58
554,college,75.0,US,1583702722.0,85.0,64.86,-147.8,21.0,3.11
555,tomatlan,30.0,MX,1583702722.0,37.0,19.93,-105.25,88.88,8.93
556,china,99.0,MX,1583702722.0,45.0,25.7,-99.23,79.68,20.76
557,santiago del estero,0.0,AR,1583702722.0,20.0,-27.8,-64.26,100.9,9.53
558,kalawit,2.0,PH,1583702722.0,93.0,8.07,122.52,74.19,3.09
559,west plains,1.0,US,1583702671.0,19.0,36.73,-91.85,69.8,18.34
560,talara,0.0,PE,1583702722.0,100.0,-4.58,-81.27,62.6,11.41
561,yining,96.0,CN,1583702722.0,97.0,29.04,114.56,59.36,1.48
562,honningsvag,20.0,NO,1583702722.0,74.0,70.98,25.97,33.8,12.75
563,rio branco,40.0,BR,1583702529.0,66.0,-9.97,-67.81,87.8,4.7
564,fujin,100.0,CN,1583702722.0,86.0,47.26,132.03,21.42,10.33
565,yinchuan,0.0,CN,1583702723.0,21.0,38.47,106.27,28.99,5.99
566,dukat,100.0,RU,1583702723.0,88.0,62.55,155.55,0.68,8.39
567,pontianak,88.0,ID,1583702723.0,97.0,-0.03,109.33,74.19,2.13
568,londoko,79.0,RU,1583702723.0,93.0,49.03,131.98,9.81,4.83
569,mount isa,12.0,AU,1583702723.0,56.0,-20.73,139.5,71.6,12.75
570,acapetahua,40.0,MX,1583702723.0,59.0,15.28,-92.7,89.6,16.11
571,harper,21.0,LR,1583702723.0,92.0,4.38,-7.72,77.77,2.35
572,mandalgovi,13.0,MN,1583702723.0,73.0,45.76,106.27,4.8,11.5
573,biritiba-mirim,75.0,BR,1583702723.0,78.0,-23.57,-46.04,79.0,4.7
574,cidreira,15.0,BR,1583702724.0,83.0,-30.18,-50.21,75.0,18.3
575,ramanuj ganj,0.0,IN,1583702724.0,46.0,23.8,83.7,62.94,2.66
576,ternate,100.0,ID,1583702724.0,90.0,0.8,127.4,73.09,3.38
577,matamoros,90.0,MX,1583702713.0,27.0,25.53,-103.25,78.8,3.36
578,terrace bay,90.0,CA,1583702724.0,96.0,48.78,-87.1,32.0,11.41
579,taganak,20.0,PH,1583702585.0,100.0,6.08,118.3,78.01,3.29
580,manali,20.0,IN,1583702724.0,88.0,13.17,80.27,81.0,7.76
581,wallaceburg,1.0,CA,1583702724.0,35.0,42.59,-82.39,60.8,13.87
582,varadero,75.0,CU,1583702639.0,53.0,23.15,-81.25,71.6,19.46
583,tabou,21.0,CI,1583702724.0,92.0,4.42,-7.35,77.77,2.35
584,mocuba,6.0,MZ,1583702724.0,99.0,-16.84,36.99,72.05,4.18
586,saint-augustin,91.0,CA,1583702725.0,73.0,51.23,-58.65,23.56,16.22
587,parry sound,0.0,CA,1583702725.0,71.0,45.35,-80.03,39.04,10.71
588,kulhudhuffushi,0.0,MV,1583702725.0,63.0,6.62,73.07,82.74,5.73
589,svetlaya,100.0,RU,1583702725.0,74.0,46.54,138.33,32.18,6.67
590,sweetwater,75.0,US,1583702725.0,43.0,25.76,-80.37,73.4,18.34
591,tautira,20.0,PF,1583702725.0,66.0,-17.73,-149.15,87.8,9.17
592,council bluffs,1.0,US,1583702725.0,28.0,41.26,-95.86,73.4,20.8
594,airai,92.0,TL,1583702725.0,93.0,-8.93,125.41,66.83,3.24
595,doha,0.0,QA,1583702519.0,52.0,25.29,51.53,69.8,2.24
596,pathalgaon,0.0,IN,1583702726.0,38.0,22.57,83.47,66.49,5.7
598,lavrentiya,0.0,RU,1583702726.0,88.0,65.58,-171.0,-8.34,1.03
599,magalia,90.0,US,1583702726.0,58.0,39.81,-121.58,60.01,3.13
600,ust-kuyga,100.0,RU,1583702726.0,95.0,70.02,135.6,-23.35,3.76
601,puerto madryn,0.0,AR,1583702670.0,30.0,-42.77,-65.04,68.23,18.25
602,borogontsy,100.0,RU,1583702726.0,99.0,62.67,131.17,-20.29,1.9
603,port augusta,0.0,AU,1583702726.0,87.0,-32.5,137.77,55.4,4.7
604,natal,20.0,BR,1583702474.0,78.0,-5.79,-35.21,84.2,12.75
605,pesaro,0.0,IT,1583702726.0,65.0,43.9,12.89,45.0,5.82
606,scarborough,69.0,GB,1583702527.0,87.0,54.28,-0.4,42.8,12.75
607,tondi,0.0,IN,1583702727.0,77.0,9.73,79.02,80.73,11.79
608,chuhar kana,11.0,PK,1583702727.0,76.0,31.75,73.8,57.2,8.05
609,jacareacanga,100.0,BR,1583702727.0,98.0,-6.22,-57.75,73.09,4.72
610,rio gallegos,75.0,AR,1583702727.0,41.0,-51.62,-69.22,60.8,21.92
611,port hawkesbury,1.0,CA,1583702727.0,68.0,45.62,-61.35,30.99,13.87
612,mufulira,21.0,ZM,1583702727.0,97.0,-12.55,28.24,64.11,5.28
